addy,lon,lat
"(Home Delivery Services Only), Bountiful, UT",-111.880771,40.8893895
"3100 Channing Way, Idaho Falls, ID",-111.9921783,43.46994249999999
"560 N 6th E, Mountain Home, ID",-115.6919903,43.13683169999999
"2311 Parke Ave, Burley, ID",-113.8014682,42.5243499
"895 N 6th E, Twin Falls, ID",-114.4602273,42.5554698
"1491 Parkway Dr, Blackfoot, ID",-112.3638465,43.1946011
"600 N Robbins Rd, Boise, ID",-116.1915593,43.6156229
"(Reference Toxicology Labs Only), Minidoka, ID",-113.4902829,42.7537967
"(Reference Toxicology Labs Only), Twin Falls, ID",-114.4700518,42.5558381
"(Home Delivery Services Only), Park City, UT",-111.4979729,40.6460622
"1450 Aviation Dr Ste 201, Hailey, ID",-114.3036776,43.5073069
"(Home Delivery Services Only), Provo, UT",-111.6585337,40.2338438
"(Home Delivery Services Only), Mountain Home, ID",-115.6911975,43.1329504
"(Home Delivery Services Only), Twin Falls, ID",-114.4700518,42.5558381
"(Home Delivery Services Only), Burley, ID",-113.7927948,42.5357428
"(Home Delivery Services Only), Jerome, ID",-114.5186534,42.7240732
"(Home Delivery Services Only), Minidoka, ID",-113.4902829,42.7537967
"(Home Delivery Services Only), Heber City, UT",-111.4133234,40.5070087
"427 N Curtis Rd, Boise, ID",-116.2542287,43.6083009
"504 N 10th Ave Ste A, Caldwell, ID",-116.6804127,43.6680875
"551 Highland Dr, Arco, ID",-113.2950802,43.6394253
"(Reference Toxicology Labs Only), Idaho Falls, ID",-112.0407584,43.49266069999999
"160 N 200 E, Ivins, UT",-113.6739792,37.1710689
"2326 N 400 E Bldg C Ste 100, Tooele, UT",-112.2932618,40.5712265
"(Reference Lab Only), Boise, ID",-116.2023137,43.6150186
"(Home Delivery Services Only), Grand View, ID",-116.0934305,42.98961389999999
"(Home Delivery Services Only), Weiser, ID",-116.9693327,44.2509976
"402 Lake Cascade Pkwy, Cascade, ID",-116.049514,44.5184152
"12427 S Pasture Rd, Riverton, UT",-111.9856878,40.5251307
"(Ostomy, Urology, Diabetic , Wound Care Only), Richfield, UT",-112.0840943,38.7724673
"565 W 900 S, Tooele, UT",-112.311517,40.5139921
"(Reference Lab Only), Preston, ID",-111.8766173,42.0963133
"(Reference Genetic Lab Only), Burley, ID",-113.7927948,42.5357428
"(Genetic Reference Lab Only), Council, ID",-116.4381985,44.7298876
"(Genetic Reference Lab Only), Blackfoot, ID",-112.3449773,43.19047090000001
"(Genetic Reference Lab Only), Grand View, ID",-116.0934305,42.98961389999999
"(Reference Laboratory Only), Brigham City, UT",-112.0155015,41.5102129
"(Reference Laboratory Only), Twin Falls, ID",-114.4700518,42.5558381
"(Reference Laboratory Only), Council, ID",-116.4381985,44.7298876
"(Reference Lab Only), Grand View, ID",-116.0934305,42.98961389999999
"(Reference Genetic Lab Only), Caldwell, ID",-116.6873596,43.66293839999999
"3214 Broken Rock Wy, Washington, UT",-113.4565414,37.1540564
"500 Chipeta Way, Salt Lake City, UT",-111.8258065,40.7578723
"(Reference Lab Only), Garden City, UT",-111.3935397,41.946878
"(Reference Lab Only), St. George, UT",-113.5684164,37.0965278
"(Reference Lab Only), Pocatello, ID",-112.4506191,42.8621042
"50 N Medical Dr, Salt Lake City, UT",-111.8376281,40.7720332
"48 W 1500 N, Nephi, UT",-111.8375752,39.7313918
"1109 N 100 W, Beaver, UT",-112.6438423,38.2888875
"1125 E Pine Ave, Meridian, ID",-116.3776497,43.611876
"1660 W Antelope Dr St, Layton, UT",-111.9964624,41.0895361
"229 S 7th St, Saint Maries, ID",-116.5673181,47.3146852
"133 W Ave A, Jerome, ID",-114.5194743,42.7228094
"1141 E 3900 S Ste A170, Salt Lake City, UT",-111.8584273,40.6876595
"1071 Renee Ave, Pocatello, ID",-112.4322231,42.89439489999999
"1464 E Ridgeline Dr ste 103, South Ogden, UT",-111.9425145,41.1548761
"98 N 100 E Ste 402, American Fork, UT",-111.7959126,40.37896689999999
"201 W Industrial Rd Ste 410, San Carlos, CA",-122.264068,37.5192962
"999 E Murray Holladay Rd Ste 201, Salt Lake City, UT",-111.8626556,40.66646679999999
"401 S 400 E, Bountiful, UT",-111.8718566,40.8851334
"251 SW 19th St, Ontario, OR",-116.9928297,44.0262363
"676 S Bluff St, St. George, UT",-113.5877756,37.0966364
"1505 Wigwam Pkwy, Henderson, NV",-115.049233,36.033583
"2225 E Centennial Pkwy, North Las Vegas, NV",-115.1193405,36.27534929999999
"2031 N Buffalo Dr, Las Vegas, NV",-115.2608378,36.1975874
"3175 Saint Rose Pkwy Ste 121, Henderson, NV",-115.1245574,35.9989204
"4830 W Lone Mountain Rd, Las Vegas, NV",-115.2081137,36.248292
"3111 Channing Way, Idaho Falls, ID",-111.989135,43.469777
"948 North 1300 West, St. George, UT",-113.6115105,37.1245123
"546 North Grant Street, Salt Lake City, UT",-111.9123031,40.781454
"7326 W Cheyenne Ave Ste 110, Las Vegas, NV",-115.2533339,36.2194024
"1344 Hiland Ave Ste E, Burley, ID",-113.7838888,42.5357913
"1661 W Horizon Ridge Pkwy Ste 101, Henderson, NV",-115.0588038,36.013927
"7710 W Sahara Road, Las Vegas, NV",-115.2594486,36.1444188
"5500 W Bagley Park Rd, West Jordan, UT",-112.0182478,40.584243
"380 E 1500 S, Heber City, UT",-111.4069546,40.4886908
"1070 N Curtis Rd ste 125, Boise, ID",-116.252783,43.6140806
"1085 S Bluff St, St. George, UT",-113.5848935,37.0894802
"942 S Main St, Layton, UT",-111.9535793,41.0456888
"3260 Bayshore Blvd, Brisbane, CA",-122.4063487,37.69320889999999
"1401 Valley Rd, North Bergen, NJ",-73.994635,40.8058598
"1425 South 700 East, Salt Lake City, UT",-111.870599,40.738512
"2961 E Turning Point Cir, Sandy, UT",-111.8089288,40.5576734
"3904 E Flamingo Ave Ste 100, Nampa, ID",-116.5226093,43.5981836
"260 Falls Ave Ste D, Twin Falls, ID",-114.4764398,42.577314200000004
"1277 Northfield Rd, Cedar City, UT",-113.0687251,37.69996829999999
"660 S 2nd St W, Rexburg, ID",-111.7905164,43.8125673
"490 S State St, Logan, UT",-111.8338359,41.7369803
